LOG CRIADO EM: 1/10/2014 21:11:55
ENVIANDO PROGRAMAÇÃO:
02F301FF75FFFFFF7500000000FFFFFFFB7F03F6 --><-- ACK
02F401FF76FFFFFF7600000000FFFFFFFB7F03F1 --><-- ACK
02F501FF77FFFFFF7700000000FFFFFFFB7F03F0 --><-- ACK
02F601FF78FFFFFF7800000000FFFFFFFB7F03F3 --><-- ACK
02F701FF79FFFFFF7900000000FFFFFFFB7F03F2 --><-- ACK
02F801FF80FFFFFF8000000000FFFFFFFB7F03FD --><-- ACK
02F901FF81FFFFFF8100000000FFFFFFFB7F03FC --><-- ACK
02FA01FF82FFFFFF8200000000FFFFFFFB7F03FF --><-- ACK
02FB01FF83FFFFFF8300000000FFFFFFFB7F03FE --><-- ACK
02FC01FF84FFFFFF8400000000FFFFFFFB7F03F9 --><-- ACK
02FD01FF85FFFFFF8500000000FFFFFFFB7F03F8 --><-- ACK
02FE01FF86FFFFFF8600000000FFFFFFFB7F03FB --><-- ACK
02FF01FF87FFFFFF8700000000FFFFFFFB7F03FA --><-- ACK
020001FF88FFFFFF8800000000FFFFFFFB7F0305 --><-- ACK
020101FF89FFFFFF8900000000FFFFFFFB7F0304 --><-- ACK
020201FF90FFFFFF9000000000FFFFFFFB7F0307 --><-- ACK
020301FF91FFFFFF9100000000FFFFFFFB7F0306 --><-- ACK
020401FF92FFFFFF9200000000FFFFFFFB7F0301 --><-- ACK
020501FF93FFFFFF9300000000FFFFFFFB7F0300 --><-- ACK
020601FF94FFFFFF9400000000FFFFFFFB7F0303 --><-- ACK
020701FF95FFFFFF9500000000FFFFFFFB7F0302 --><-- ACK
020801FF96FFFFFF9600000000FFFFFFFB7F030D --><-- ACK
020901FF97FFFFFF9700000000FFFFFFFB7F030C --><-- ACK
020A01FF98FFFFFF9800000000FFFFFFFB7F030F --><-- ACK
020B01FF99FFFFFF9900000000FFFFFFFB7F030E --><-- ACK
020C01F100FFFFF10000000000FFFFFFFB7F0309 --><-- ACK
020D01F101FFFFF10100000000FFFFFFFB7F0308 --><-- ACK
020E01F102FFFFF10200000000FFFFFFFB7F030B --><-- ACK
020F01F103FFFFF10300000000FFFFFFFB7F030A --><-- ACK
021001F104FFFFF10400000000FFFFFFFB7F0315 --><-- ACK
021101F105FFFFF10500000000FFFFFFFB7F0314 --><-- ACK
021201F106FFFFF10600000000FFFFFFFB7F0317 --><-- ACK
021301F107FFFFF10700000000FFFFFFFB7F0316 --><-- ACK
021401F108FFFFF10800000000FFFFFFFB7F0311 --><-- ACK
021501F109FFFFF10900000000FFFFFFFB7F0310 --><-- ACK
021601F110FFFFF11000000000FFFFFFFB7F0313 --><-- ACK
021701F111FFFFF11100000000FFFFFFFB7F0312 --><-- ACK
021801F112FFFFF11200000000FFFFFFFB7F031D --><-- ACK
021901F113FFFFF11300000000FFFFFFFB7F031C --><-- ACK
021A01F114FFFFF11400000000FFFFFFFB7F031F --><-- ACK
021B01F115FFFFF11500000000FFFFFFFB7F031E --><-- ACK
021C01F116FFFFF11600000000FFFFFFFB7F0319 --><-- ACK
021D01F117FFFFF11700000000FFFFFFFB7F0318 --><-- ACK
021E01F118FFFFF11800000000FFFFFFFB7F031B --><-- ACK
021F01F119FFFFF11900000000FFFFFFFB7F031A --><-- ACK
022001F120FFFFF12000000000FFFFFFFB7F0325 --><-- ACK
022101F121FFFFF12100000000FFFFFFFB7F0324 --><-- ACK
022201F122FFFFF12200000000FFFFFFFB7F0327 --><-- ACK
022301F123FFFFF12300000000FFFFFFFB7F0326 --><-- ACK
022401F124FFFFF12400000000FFFFFFFB7F0321 --><-- ACK
022501F125FFFFF12500000000FFFFFFFB7F0320 --><-- ACK
022601F126FFFFF12600000000FFFFFFFB7F0323 --><-- ACK
022701F127FFFFF12700000000FFFFFFFB7F0322 --><-- ACK
022801F128FFFFF12800000000FFFFFFFB7F032D --><-- ACK
022901F129FFFFF12900000000FFFFFFFB7F032C --><-- ACK
022A01F130FFFFF13000000000FFFFFFFB7F032F --><-- ACK
022B01F131FFFFF13100000000FFFFFFFB7F032E --><-- ACK
022C01F132FFFFF13200000000FFFFFFFB7F0329 --><-- ACK
022D01F133FFFFF13300000000FFFFFFFB7F0328 --><-- ACK
022E01F134FFFFF13400000000FFFFFFFB7F032B --><-- ACK
022F01F135FFFFF13500000000FFFFFFFB7F032A --><-- ACK
023001F136FFFFF13600000000FFFFFFFB7F0335 --><-- ACK
023101F137FFFFF13700000000FFFFFFFB7F0334 --><-- ACK
023201F138FFFFF13800000000FFFFFFFB7F0337 --><-- ACK
023301F139FFFFF13900000000FFFFFFFB7F0336 --><-- ACK
023401F140FFFFF14000000000FFFFFFFB7F0331 --><-- ACK
023501F141FFFFF14100000000FFFFFFFB7F0330 --><-- ACK
023601F142FFFFF14200000000FFFFFFFB7F0333 --><-- ACK
023701F143FFFFF14300000000FFFFFFFB7F0332 --><-- ACK
023801F144FFFFF14400000000FFFFFFFB7F033D --><-- ACK
023901F145FFFFF14500000000FFFFFFFB7F033C --><-- ACK
023A01F146FFFFF14600000000FFFFFFFB7F033F --><-- ACK
023B01F147FFFFF14700000000FFFFFFFB7F033E --><-- ACK
023C01F148FFFFF14800000000FFFFFFFB7F0339 --><-- ACK
023D01F149FFFFF14900000000FFFFFFFB7F0338 --><-- ACK
023E01F150FFFFF15000000000FFFFFFFB7F033B --><-- ACK
023F01F151FFFFF15100000000FFFFFFFB7F033A --><-- ACK
024001F152FFFFF15200000000FFFFFFFB7F0345 --><-- ACK
024101F153FFFFF15300000000FFFFFFFB7F0344 --><-- ACK
024201F154FFFFF15400000000FFFFFFFB7F0347 --><-- ACK
024301F155FFFFF15500000000FFFFFFFB7F0346 --><-- ACK
024401F156FFFFF15600000000FFFFFFFB7F0341 --><-- ACK
024501F157FFFFF15700000000FFFFFFFB7F0340 --><-- ACK
024601F158FFFFF15800000000FFFFFFFB7F0343 --><-- ACK
024701F159FFFFF15900000000FFFFFFFB7F0342 --><-- ACK
024801F160FFFFF16000000000FFFFFFFB7F034D --><-- ACK
024901F161FFFFF16100000000FFFFFFFB7F034C --><-- ACK
024A01F162FFFFF16200000000FFFFFFFB7F034F --><-- ACK
024B01F163FFFFF16300000000FFFFFFFB7F034E --><-- ACK
024C01F164FFFFF16400000000FFFFFFFB7F0349 --><-- ACK
024D01F165FFFFF16500000000FFFFFFFB7F0348 --><-- ACK
024E01F166FFFFF16600000000FFFFFFFB7F034B --><-- ACK
024F01F167FFFFF16700000000FFFFFFFB7F034A --><-- ACK
025001F168FFFFF16800000000FFFFFFFB7F0355 --><-- ACK
025101F169FFFFF16900000000FFFFFFFB7F0354 --><-- ACK
025201F170FFFFF17000000000FFFFFFFB7F0357 --><-- ACK
025301F171FFFFF17100000000FFFFFFFB7F0356 --><-- ACK
025401F172FFFFF17200000000FFFFFFFB7F0351 --><-- ACK
025501F173FFFFF17300000000FFFFFFFB7F0350 --><-- ACK
025601F174FFFFF17400000000FFFFFFFB7F0353 --><-- ACK
025701F175FFFFF17500000000FFFFFFFB7F0352 --><-- ACK
025801F176FFFFF17600000000FFFFFFFB7F035D --><-- ACK
025901F177FFFFF17700000000FFFFFFFB7F035C --><-- ACK
025A01F178FFFFF17800000000FFFFFFFB7F035F --><-- ACK
025B01F179FFFFF17900000000FFFFFFFB7F035E --><-- ACK
025C01F180FFFFF18000000000FFFFFFFB7F0359 --><-- ACK
