LOG CRIADO EM: 27/03/2016 14:22:37
ENVIANDO A PROGRAMAÇÃO:
02470301000600FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F0343 --><-- ACK []
02480301000700FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F034D --><-- ACK []
02490301000800FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F0343 --><-- ACK []
024A0301000000FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F0348 --><-- ACK []
024B0301000100FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F0348 --><-- ACK []
024C0301010200FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F034D --><-- ACK []
024D0301010300FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F034D --><-- ACK []
024E0301010400FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F0349 --><-- ACK []
024F0301010500FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F0349 --><-- ACK []
02500301010600FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F0355 --><-- ACK []
02510301010700FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F0355 --><-- ACK []
02520301010800FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F0359 --><-- ACK []
02530301010000FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F0350 --><-- ACK []
02540301010100FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F0356 --><-- ACK []
02550301020200FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F0357 --><-- ACK []
02560301020300FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F0355 --><-- ACK []
02570301020400FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F0353 --><-- ACK []
02580301020500FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F035D --><-- ACK []
02590301020600FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F035F --><-- ACK []
025A0301020700FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F035D --><-- ACK []
025B0301020800FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F0353 --><-- ACK []
025C0301020000FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F035C --><-- ACK []
025D0301020100FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F035C --><-- ACK []
025E0301030200FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F035D --><-- ACK []
025F0301030300FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F035D --><-- ACK []
02600301030400FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F0365 --><-- ACK []
02610301030500FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F0365 --><-- ACK []
02620301030600FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F0365 --><-- ACK []
02630301030700FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F0365 --><-- ACK []
02640301030800FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F036D --><-- ACK []
02650301030000FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F0364 --><-- ACK []
02660301030100FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F0366 --><-- ACK []
02670301040200FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F0363 --><-- ACK []
02680301040300FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F036D --><-- ACK []
02690301040400FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F036B --><-- ACK []
026A0301040500FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7F0369 --><-- ACK []
