LOG CRIADO EM: 1/10/2014 20:58:41
ENVIANDO PROGRAMAÇÃO:
020000017F0301 --><-- ACK
02010400FFFFFFF07F030A --><-- ACK
02020401FFFFFFF07F0308 --><-- ACK
02030402FFFFFFF07F030A --><-- ACK
02040403000000017F0302 --><-- ACK
02050404FFFFFFF07F030A --><-- ACK
02060405FFFFFFF07F0308 --><-- ACK
02070406FFFFFFF07F030A --><-- ACK
02080407000000007F030B --><-- ACK
02090408000000007F0305 --><-- ACK
020A0409000000027F0305 --><-- ACK
020B040A000000007F0305 --><-- ACK
020C040BFFFFFFFF7F0303 --><-- ACK
020D040CFFFFFFFF7F0305 --><-- ACK
020E01FFF1FFFFFFF100000000FFFFFFFB7F030B --><-- ACK
020F01FFF2FFFFFFF200000000FFFFFFFB7F030A --><-- ACK
021001FFF3FFFFFFF300000000FFFFFFFB7F0315 --><-- ACK
021101FFF4FFFFFFF400000000FFFFFFFB7F0314 --><-- ACK
021201FFF5FFFFFFF500000000FFFFFFFB7F0317 --><-- ACK
021301FFF6FFFFFFF600000000FFFFFFFB7F0316 --><-- ACK
021401FFF7FFFFFFF700000000FFFFFFFB7F0311 --><-- ACK
021501FFF8FFFFFFF800000000FFFFFFFB7F0310 --><-- ACK
021601FFF9FFFFFFF900000000FFFFFFFB7F0313 --><-- ACK
021701FF10FFFFFF1000000000FFFFFFFB7F0312 --><-- ACK
021801FF11FFFFFF1100000000FFFFFFFB7F031D --><-- ACK
021901FF12FFFFFF1200000000FFFFFFFB7F031C --><-- ACK
021A01FF13FFFFFF1300000000FFFFFFFB7F031F --><-- ACK
021B01FF14FFFFFF1400000000FFFFFFFB7F031E --><-- ACK
021C01FF15FFFFFF1500000000FFFFFFFB7F0319 --><-- ACK
021D01FF16FFFFFF1600000000FFFFFFFB7F0318 --><-- ACK
021E01FF17FFFFFF1700000000FFFFFFFB7F031B --><-- ACK
021F01FF18FFFFFF1800000000FFFFFFFB7F031A --><-- ACK
022001FF19FFFFFF1900000000FFFFFFFB7F0325 --><-- ACK
022101FF20FFFFFF2000000000FFFFFFFB7F0324 --><-- ACK
022201FF21FFFFFF2100000000FFFFFFFB7F0327 --><-- ACK
022301FF22FFFFFF2200000000FFFFFFFB7F0326 --><-- ACK
022401FF23FFFFFF2300000000FFFFFFFB7F0321 --><-- ACK
022501FF24FFFFFF2400000000FFFFFFFB7F0320 --><-- ACK
022601FF25FFFFFF2500000000FFFFFFFB7F0323 --><-- ACK
022701FF26FFFFFF2600000000FFFFFFFB7F0322 --><-- ACK
022801FF27FFFFFF2700000000FFFFFFFB7F032D --><-- ACK
022901FF28FFFFFF2800000000FFFFFFFB7F032C --><-- ACK
022A01FF29FFFFFF2900000000FFFFFFFB7F032F --><-- ACK
022B01FF30FFFFFF3000000000FFFFFFFB7F032E --><-- ACK
022C01FF31FFFFFF3100000000FFFFFFFB7F0329 --><-- ACK
022D01FF32FFFFFF3200000000FFFFFFFB7F0328 --><-- ACK
022E01FF33FFFFFF3300000000FFFFFFFB7F032B --><-- ACK
022F01FF34FFFFFF3400000000FFFFFFFB7F032A --><-- ACK
023001FF35FFFFFF3500000000FFFFFFFB7F0335 --><-- ACK
023101FF36FFFFFF3600000000FFFFFFFB7F0334 --><-- ACK
023201FF37FFFFFF3700000000FFFFFFFB7F0337 --><-- ACK
023301FF38FFFFFF3800000000FFFFFFFB7F0336 --><-- ACK
023401FF39FFFFFF3900000000FFFFFFFB7F0331 --><-- ACK
023501FF40FFFFFF4000000000FFFFFFFB7F0330 --><-- ACK
023601FF41FFFFFF4100000000FFFFFFFB7F0333 --><-- ACK
023701FF42FFFFFF4200000000FFFFFFFB7F0332 --><-- ACK
023801FF43FFFFFF4300000000FFFFFFFB7F033D --><-- ACK
023901FF44FFFFFF4400000000FFFFFFFB7F033C --><-- ACK
